mean,std,ptp,slope,zcr,spike_count,hjorth_mobility,hjorth_complexity,rms_first_diff,cluster
1.6888013,0.002806261,0.01613319,4.1425333e-06,0.34,0.05,0.986238,1.3265779,0.0027677033,0
1.6891826,0.002767798,0.013826966,4.094612e-06,0.34,0.06,1.0027205,1.2963564,0.0027754863,0
1.6892462,0.00304697,0.01701653,-1.5279176e-05,0.36,0.06,1.0073476,1.286822,0.00306941,0
1.6888417,0.0024939198,0.01701653,-1.41226365e-05,0.34,0.02,0.9748326,1.3295403,0.002431535,0
1.6886176,0.0019325863,0.011493087,-3.4291302e-06,0.38,0.05,1.0456728,1.2082725,0.0020209216,0
1.6885426,0.0026627437,0.018141031,-3.498444e-06,0.35,0.04,1.0398382,1.1937473,0.002768899,0
1.6886916,0.0029673628,0.018670559,1.9296976e-06,0.38,0.03,1.0303689,1.2087173,0.003057495,0
1.6888064,0.002781328,0.017412663,-7.2747703e-06,0.34,0.03,0.991138,1.251787,0.0027566955,0
1.6888047,0.0020585712,0.016085625,-3.5823011e-06,0.36,0.02,0.950615,1.300018,0.0019569066,0
1.6891527,0.00284555,0.018638492,1.8231289e-06,0.29,0.03,0.93719137,1.3623747,0.0026668827,0
1.6886653,0.003078222,0.018638492,-2.5444187e-05,0.26,0.02,0.8406398,1.5196316,0.0025876712,0
1.6873794,0.002615049,0.017072916,-7.83148e-06,0.32,0.03,1.039399,1.2034225,0.002718253,0
1.6866039,0.002927781,0.018610239,3.1586462e-06,0.38,0.03,0.9916558,1.2653991,0.0029033616,0
1.6863694,0.0020254566,0.01668489,7.047236e-06,0.34,0.01,0.94398236,1.3316096,0.0019119976,0
1.6865449,0.0019875043,0.014735222,1.4344708e-06,0.32,0.01,0.9417748,1.3259997,0.0018718948,0
1.686519,0.00211629,0.014615774,-9.576882e-06,0.29,0.02,0.9392561,1.310661,0.0019880743,0
1.6862481,0.001865558,0.010606885,-4.7985636e-06,0.34,0.03,0.9994382,1.2191778,0.00186451,0
1.6858146,0.0018699995,0.011271119,-6.31496e-06,0.35,0.03,0.98182046,1.2857903,0.001836031,0
1.6872617,0.0030542107,0.018399239,5.670056e-05,0.25,0.03,0.8467305,1.5357246,0.0025862516,0
1.68922,0.0030523692,0.018122196,6.8983613e-06,0.33,0.03,0.9942478,1.266796,0.003034873,0
1.6890973,0.002661771,0.018142104,-1.0879936e-05,0.33,0.04,0.9420812,1.2976621,0.002507697,0
1.6884238,0.0018846416,0.01277864,-1.4339456e-05,0.38,0.03,0.96901065,1.2692599,0.0018262445,0
1.6881279,0.0013392409,0.007753372,8.565658e-06,0.37,0.02,1.0399042,1.1948427,0.0013928514,0
1.6882824,0.0020827013,0.016158342,4.38905e-06,0.33,0.02,0.9124461,1.345907,0.0019004862,0
1.6889881,0.0035607512,0.02176845,2.671858e-05,0.25,0.02,0.72910374,1.4659387,0.0025961671,0
1.6894672,0.0038269348,0.02176845,2.2070878e-06,0.28,0.04,0.8124393,1.4528682,0.003109165,0
1.6893078,0.0026968603,0.017603159,-3.929577e-06,0.32,0.02,0.9968518,1.2904881,0.0026884077,0
1.6890999,0.0015852378,0.008423924,-1.1639045e-05,0.34,0.04,1.0308559,1.2459084,0.0016341564,0
1.6893939,0.0023194856,0.018089175,1.223143e-05,0.26,0.02,0.8015088,1.550327,0.0018591086,0
1.6899136,0.0034001248,0.020148039,1.1525271e-05,0.31,0.03,0.9047332,1.360664,0.0030762795,0
1.6896272,0.0032935918,0.020148039,-4.4008702e-06,0.35,0.03,0.9562148,1.2993474,0.0031494345,0
1.6890378,0.0029515116,0.019531012,-1.26950235e-05,0.34,0.02,0.85600084,1.406513,0.002526525,0
1.6881576,0.002734266,0.01934421,-2.5192901e-05,0.33,0.02,0.8580168,1.4449108,0.002346292,0
1.6879301,0.0027510752,0.017709017,6.037294e-06,0.43,0.02,1.0123101,1.2665077,0.0027849665,0
1.6873655,0.0027316052,0.019539833,-2.6517637e-05,0.36,0.02,0.9438051,1.3450764,0.0025781018,0
1.686439,0.0018534121,0.01454246,1.2534823e-06,0.37,0.01,1.0491103,1.2068586,0.0019444871,0
1.6867356,0.0031000723,0.018214941,8.820383e-06,0.35,0.03,0.97213507,1.2868311,0.0030138432,0
1.6872888,0.0036252008,0.01836431,9.629462e-06,0.31,0.03,0.9183863,1.3090779,0.0033295758,0
1.6858925,0.0035132964,0.021091938,-4.896287e-05,0.22,0.04,0.86454844,1.4396131,0.0030374108,0
