pc1,pc2,pc3,cluster
-1.3524078,-0.007415449,-0.18474849,0
-1.0066371,-0.26029035,-0.06620589,0
-1.4758177,0.021877838,-0.20584777,0
-1.8751113,0.18169278,-0.35507226,0
-0.5985412,-0.60367185,-0.05291656,0
-0.4099899,-0.72395504,-0.116506964,0
-1.5082465,-0.16877647,-0.23734644,0
-0.5039376,-0.66375154,-0.03273405,0
-0.04337909,-1.0224301,-0.026914582,0
-0.71293306,-0.37990573,-0.0038102148,0
-0.4535316,-0.46089277,-0.028970918,0
-1.0421814,-0.33317316,-0.19447002,0
-1.3392773,-0.2393593,-0.3046558,0
-0.96800226,-0.3535487,-0.22488527,0
-1.2612565,0.013522715,-0.23160909,0
-1.4114017,0.07496292,-0.23700607,0
-0.17943244,-0.9215681,-0.033955637,0
-0.46254516,-0.46812162,-0.051229198,0
-0.96117735,-0.0795041,-0.17838496,0
-1.3775014,0.07800045,-0.19430496,0
-1.3443855,0.040958364,-0.20863828,0
-1.6192476,0.0832362,-0.28249437,0
-2.0917766,0.21220876,-0.41309536,0
-0.6899307,-0.6500638,-0.09639222,0
-1.2703928,-0.1574852,-0.20228657,0
-0.97145736,1.7281157,0.073085696,0
-0.89211076,3.0837777,0.48416412,0
-0.96580434,3.408268,0.4230479,0
-0.70719165,3.0533707,0.48750708,0
-0.87214875,3.011545,0.47140822,0
-0.8240051,2.7421563,0.49447536,0
-0.77978945,2.7678058,0.21647713,0
-1.067475,2.2576172,0.28008464,0
-1.4051573,0.92572343,-0.09503004,0
-1.8411796,2.8091393,-0.040836997,0
-0.06613064,3.3009987,0.7047254,0
0.34472927,2.2310908,0.59498423,0
-1.0320884,-0.10742916,-0.13031961,0
-1.0742354,-0.12140353,-0.15747127,0
-0.8850629,-0.3238717,-0.1938487,0
-0.9872424,-0.34602973,-0.102357626,0
-1.3306963,-0.116515175,-0.15846288,0
-1.9357003,0.45493957,-0.35368955,0
-1.7042866,0.23088115,-0.3049979,0
-1.9213715,0.36950406,-0.347402,0
-1.9853269,0.49246237,-0.38896468,0
-1.2110337,-0.19115674,-0.22636956,0
-2.0921686,0.33511975,-0.41925484,0
-1.7267891,0.24703991,-0.3042202,0
-1.6564084,0.2276678,-0.2879645,0
-1.4154407,0.0152275795,-0.24901916,0
-1.2885514,-0.21240047,-0.25487056,0
-1.0525403,-0.22203378,-0.1651887,0
-0.52082646,-0.5870037,-0.12045594,0
-1.4411092,0.024768295,-0.25365373,0
-1.5629921,0.16174741,-0.31775904,0
-1.0129359,-0.4050325,-0.20810564,0
-0.9412818,-0.48337534,-0.18240537,0
-0.9704139,-0.4297713,-0.18401484,0
-1.5228789,-0.107319854,-0.30154884,0
-1.5016034,-0.112478785,-0.325081,0
-0.64612395,-0.49711168,-0.04592701,0
-1.3618126,0.008968398,-0.17385365,0
-1.4319661,0.011875533,-0.24328119,0
-1.6093787,-0.0415967,-0.32313785,0
-1.619042,-0.17907082,-0.28129715,0
-1.0750452,-0.3653816,-0.18693638,0
-0.2730271,-0.7192093,0.032399558,0
-0.8584437,-0.2199417,-0.12534106,0
-1.1697341,-0.18443386,-0.1717726,0
-1.7559341,0.0016267685,-0.34794897,0
-0.4742693,-0.7351366,-0.08117388,0
-1.0515785,-0.14807768,-0.14302911,0
-1.3400263,0.05219108,-0.22839838,0
-0.9350105,-0.31456888,-0.20072666,0
-0.8871539,-0.36633027,-0.23087645,0
-1.6671505,0.1794576,-0.34465858,0
-1.2039658,-0.12633197,-0.28890392,0
-1.3981775,-0.1740262,-0.2797931,0
-1.3883206,0.05594729,-0.25998542,0
-1.0950453,-0.09320724,-0.16506414,0
-0.706253,-0.32181036,-0.1804442,0
-1.5801096,0.21211226,-0.3367458,0
-1.0024942,-0.24430908,-0.17894162,0
-0.88778156,-0.47711083,-0.1542135,0
-1.1192284,-0.31684604,-0.23147547,0
-0.9899053,-0.25807613,-0.16048534,0
-1.2587084,0.091775365,-0.31708503,0
-0.5784704,-0.38685024,-0.13902357,0
-0.6117683,-0.5177004,-0.1873922,0
-0.96935356,-0.25942788,-0.18531525,0
-1.2923949,-0.18351667,-0.24691679,0
-1.026665,-0.3776925,-0.15150847,0
-1.1677349,-0.13154979,-0.14565824,0
-0.97684,-0.3789794,-0.13049878,0
-1.4590573,-0.12061107,-0.27102146,0
-1.2522683,-0.22429028,-0.2790257,0
-2.0894105,0.27992973,-0.4195479,0
-1.6543128,-0.01472215,-0.33513692,0
-1.1968166,-0.18771555,-0.22525428,0
-1.360537,-0.07429324,-0.23990723,0
-1.5281625,-0.1579166,-0.31203008,0
-0.9331609,-0.56935686,-0.16272809,0
-1.0649213,-0.3336232,-0.14936756,0
-1.558197,0.19062749,-0.22422928,0
-1.6035062,0.18894535,-0.30954263,0
-1.4535601,0.032852232,-0.24295999,0
-1.5200541,0.314873,-0.28567517,0
-1.2738875,0.028617335,-0.23223129,0
-1.6802115,0.083811566,-0.32180178,0
-1.2554349,-0.15337104,-0.2476014,0
-0.79861,-0.5707114,-0.17576027,0
-0.79760814,-0.37595448,-0.110340334,0
-1.2795705,0.10924351,-0.16591,0
-1.087634,-0.048942335,-0.113854595,0
-1.1845713,-0.10349765,-0.22343387,0
-1.6415828,0.20589902,-0.30238602,0
-1.8409445,0.43551093,-0.36074,0
-1.818385,0.36842713,-0.34337237,0
-1.6008393,0.1379015,-0.27177095,0
-1.2434084,-0.09382382,-0.20015073,0
-1.3791131,0.042139772,-0.24713822,0
-1.0491855,-0.30216384,-0.22035564,0
-1.5585341,0.251027,-0.26558992,0
-1.3858438,0.25181362,-0.28308648,0
-1.2468803,0.022698779,-0.21356426,0
-1.4671699,0.09546703,-0.2812505,0
-0.945502,-0.39123318,-0.17669213,0
-0.6645226,-0.50005454,-0.1191728,0
-1.1668462,-0.02584357,-0.17551078,0
-1.4984316,0.1519479,-0.2563695,0
-1.8878987,0.2834207,-0.31645888,0
-1.651589,0.31541762,-0.2945798,0
